Package,LibPath,Version,Priority,Built
acepack,C:/Users/jhiggins/Documents/R/win-library/3.4,1.4.1,NA,3.4.3
assertthat,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2.0,NA,3.4.3
backports,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.1,NA,3.4.1
base64enc,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/jhiggins/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.1,NA,3.4.3
bindrcpp,C:/Users/jhiggins/Documents/R/win-library/3.4,0.2,NA,3.4.3
bitops,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
broom,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
callr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
car,C:/Users/jhiggins/Documents/R/win-library/3.4,2.1-5,NA,3.4.1
caTools,C:/Users/jhiggins/Documents/R/win-library/3.4,1.17.1,NA,3.4.3
cellranger,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
checkmate,C:/Users/jhiggins/Documents/R/win-library/3.4,1.8.5,NA,3.4.3
chron,C:/Users/jhiggins/Documents/R/win-library/3.4,2.3-51,NA,3.4.3
cli,C:/Users/jhiggins/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
clipr,C:/Users/jhiggins/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
clisymbols,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
coda,C:/Users/jhiggins/Documents/R/win-library/3.4,0.19-1,NA,3.4.1
coin,C:/Users/jhiggins/Documents/R/win-library/3.4,1.2-2,NA,3.4.2
colorspace,C:/Users/jhiggins/Documents/R/win-library/3.4,1.3-2,NA,3.4.3
crayon,C:/Users/jhiggins/Documents/R/win-library/3.4,1.3.4,NA,3.4.3
curl,C:/Users/jhiggins/Documents/R/win-library/3.4,3.0,NA,3.4.3
data.table,C:/Users/jhiggins/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
DBI,C:/Users/jhiggins/Documents/R/win-library/3.4,0.7,NA,3.4.3
dbplyr,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
desc,C:/Users/jhiggins/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
dichromat,C:/Users/jhiggins/Documents/R/win-library/3.4,2.0-0,NA,3.4.1
